timestamp,origin,destination,summary_route,travel_time_seconds,travel_time_minutes,distance_meters,distance_km
2025-05-26T20:22:17.166630,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,3039,50.65,19268,19.27
2025-05-26T20:22:17.433097,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,825,13.75,6545,6.54
2025-05-26T20:22:17.766891,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2485,41.42,16860,16.86
2025-05-26T20:22:18.138469,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,261,4.35,1167,1.17
2025-05-26T20:22:18.604788,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1881,31.35,12280,12.28
2025-05-26T20:22:19.427140,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1779,29.65,14557,14.56
2025-05-26T20:27:20.255525,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Kaifi Azmi Road,2580,43.0,17914,17.91
2025-05-26T20:27:20.483797,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,1033,17.22,5825,5.83
2025-05-26T20:27:20.729733,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,735,12.25,3127,3.13
2025-05-26T20:27:20.975622,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,575,9.58,3160,3.16
2025-05-26T20:27:21.785598,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,3009,50.15,19456,19.46
2025-05-26T20:27:22.325520,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,838,13.97,6545,6.54
2025-05-26T20:27:22.854274,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2449,40.82,16860,16.86
2025-05-26T20:27:23.141732,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,273,4.55,1167,1.17
2025-05-26T20:27:23.648445,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1863,31.05,12280,12.28
2025-05-26T20:27:24.185061,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1735,28.92,14557,14.56
2025-05-26T20:32:26.029920,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Begumpet Rd,2534,42.23,17911,17.91
2025-05-26T20:32:26.297107,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,974,16.23,5825,5.83
2025-05-26T20:32:26.820326,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,731,12.18,3127,3.13
2025-05-26T20:32:27.348449,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,531,8.85,3160,3.16
2025-05-26T20:32:27.882431,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,2970,49.5,19456,19.46
2025-05-26T20:32:28.364723,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,828,13.8,6545,6.54
2025-05-26T20:32:29.002658,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2424,40.4,16860,16.86
2025-05-26T20:32:29.440239,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,261,4.35,1167,1.17
2025-05-26T20:32:29.839460,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1871,31.18,12280,12.28
2025-05-26T20:32:30.755591,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1722,28.7,14557,14.56
2025-05-26T20:37:35.179657,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Road No. 36,2515,41.92,17616,17.62
2025-05-26T20:37:35.445154,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,874,14.57,5825,5.83
2025-05-26T20:37:35.717848,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,726,12.1,3134,3.13
2025-05-26T20:37:35.993531,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,535,8.92,3160,3.16
2025-05-26T20:37:36.571640,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,2955,49.25,19496,19.5
2025-05-26T20:37:36.842018,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,840,14.0,6545,6.54
2025-05-26T20:37:37.115687,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2466,41.1,16860,16.86
